idDrink,strDrink,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
15346,155 Belmont,,,Cocktail,,Alcoholic,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,Dark rum,1 shot ,Light rum,2 shots ,Vodka,1 shot ,Orange juice,1 shot ,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-10-05 12:36:28
14029,57 Chevy with a White License Plate,,,Cocktail,,Alcoholic,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,https://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Creme de Cacao,1 oz white ,Vodka,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-07-18 22:49:04
178318,747 Drink,,,Cocktail,,Alcoholic,Highball glass,"Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg,Vodka,1 oz,Roses sweetened lime juice,1 oz,Cranberry Juice,1 oz,Sprite,Top,,,,,,,,,,,,,,,,,,,,,,,,,Yes,
16108,9 1/2 Weeks,,,Cocktail,,Alcoholic,Cocktail glass,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Absolut Citron,2 oz ,Orange Curacao,1/2 oz ,Strawberry liqueur,1 splash ,Orange juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-08-31 19:48:22
16943,A Gilligan's Island,,,Cocktail,,Alcoholic,Collins glass,"Shaken, not stirred!",https://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Vodka,1 oz ,Peach schnapps,1 oz ,Orange juice,3 oz ,Cranberry juice,3 oz ,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-04-28 19:12:56
17005,A True Amaretto Sour,,,Cocktail,,Alcoholic,Old-fashioned glass,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",https://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Amaretto,1 jigger ,Lemon,Juice of 1/2 ,Ice,,Maraschino cherry,,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-08-31 19:49:32
14560,A.D.M. (After Dinner Mint),,,Cocktail,,Alcoholic,Irish coffee cup,shake vigorously,https://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,White Creme de Menthe,1/2 oz ,Southern Comfort,3/4 oz ,Vodka,1/2 oz ,Hot chocolate,Fill with ,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-08-31 19:53:20
17222,A1,,,Cocktail,,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,1 3/4 shot ,Grand Marnier,1 Shot ,Lemon Juice,1/4 Shot,Grenadine,1/8 Shot,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-09-07 21:42:09
17223,Abbey Martini,,,Cocktail,,Alcoholic,Cocktail glass,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Gin,2 shots ,Sweet Vermouth,1 shot ,Orange Juice,1 shot ,Angostura Bitters,3 dashes ,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-09-07 21:50:03
14107,Absolut Summertime,,,Cocktail,,Alcoholic,Collins glass,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,https://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Absolut Citron,1 1/2 oz ,Sweet and sour,3/4 oz ,Sprite,1/2 oz ,Soda water,3 oz ,Lemon,1 slice ,,,,,,,,,,,,,,,,,,,,,,,No,2016-08-31 19:54:22
17224,Absolutely Fabulous,,,Cocktail,,Alcoholic,Champagne flute,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,https://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Vodka,1 shot ,Cranberry Juice,2 shots ,Champagne,Top up with,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-09-07 21:55:34
16134,Absolutly Screwed Up,,,Cocktail,,Alcoholic,Collins glass,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",https://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Absolut Citron,1 shot ,Orange juice,1 shot ,Triple sec,1 shot ,Ginger ale,Fill to top ,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-08-31 19:55:28
17225,Ace,,,Cocktail,,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,2 shots ,Grenadine,1/2 shot ,Heavy cream,1/2 shot ,Milk,1/2 shot,Egg White,1/2 Fresh,,,,,,,,,,,,,,,,,,,,,,,No,2017-09-07 22:05:06
17226,Adam & Eve,,,Cocktail,,Alcoholic,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Gin,1 shot ,Cognac,1 shot ,Creme de Cassis,1 shot ,Fresh Lemon Juice,1/8 shot ,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-09-07 22:17:58
17227,Addington,,,Cocktail,,Alcoholic,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Sweet Vermouth,2 shots ,Dry Vermouth,1 shot ,Soda Water,"Top up with
",,,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-09-07 22:15:25
