idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
17222,A1,,,,Cocktail,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,,,,,,,,No,2017-09-07 21:42:09
13501,ABC,,,,Shot,Alcoholic,Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Amaretto,Baileys irish cream,Cognac,,,,,,,,,,,,,1/3 ,1/3 ,1/3 ,,,,,,,,,,,,,,,No,2016-08-31 19:32:08
17225,Ace,,,,Cocktail,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,,,,No,2017-09-07 22:05:06
14610,ACID,,,,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1 oz Bacardi ,1 oz ,,,,,,,,,,,,,,,,No,2016-11-15 11:28:37
17837,Adam,,"Alcoholic,Holiday",,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,,,,,,,,,,,,,,,Yes,2016-09-02 11:29:29
13938,AT&T,,,,Ordinary Drink,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,,,,No,2017-04-24 22:00:19
17833,A. J.,,,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Applejack,Grapefruit juice,,,,,,,,,,,,,,1 1/2 oz ,1 oz ,,,,,,,,,,,,,,,,Yes,2016-09-02 11:16:58
17839,Affair,,,,Ordinary Drink,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,,,,Yes,2016-09-01 10:05:34
15106,Apello,,,,Other / Unknown,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,,,,4 cl ,3 cl ,1 cl ,1 ,,,,,,,,,,,,,,No,2016-07-18 22:13:35
15266,Avalon,,,,Ordinary Drink,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,,,,No,2017-04-24 22:22:11
